,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Geothermal,Nuclear
130,2011-11-01,2257.05300917,125.540660833,109.568884167,10.1668808333,16853.8130775,787.0443025,9884.04453917,,2462.0114675,1041.01122667,1836.29941667
131,2011-12-01,2220.51809833,120.32549,113.118053333,10.6341875,16822.7273075,783.4037625,10049.5008508,,2463.853485,1042.30750083,1692.38475
132,2012-01-01,2236.447535,114.59027,115.191655,11.1715308333,16626.5472142,812.852473333,9972.36071917,,2497.23711833,1043.2499175,1542.284
133,2012-02-01,2266.37991083,107.684851667,120.268413333,10.8153225,16589.379895,818.0936,9995.19771583,,2512.60768167,1046.88676,1456.68191667
134,2012-03-01,2299.565275,100.483698333,128.118516667,9.99321416667,16519.8995083,830.266090833,9955.75989417,,2527.19020917,1045.48552833,1398.53625
135,2012-04-01,2323.96958917,90.7765658333,139.824230833,9.570595,16476.2519033,854.146095833,9925.9921575,,2564.86590333,1048.1509925,1341.92866667
136,2012-05-01,2319.53870417,86.7937425,149.057954167,8.46344416667,16494.9177825,919.306880833,9852.425205,,2637.78404583,1044.537245,1378.6425
137,2012-06-01,2255.85122167,85.3085975,156.648135833,8.423025,16497.6396967,954.666218333,9816.63779833,,2682.43240833,1042.8319375,1449.8715
138,2012-07-01,2240.10107917,84.5331341667,168.011000833,7.42274416667,16592.852705,977.083499167,9859.47692417,1.37108666667,2720.0196875,1041.86290167,1482.125
139,2012-08-01,2232.678275,83.93753,180.822030833,7.04704666667,16740.9937767,1011.4188575,9976.90792333,1.67559142857,2771.14605417,1042.4552675,1466.42566667
140,2012-09-01,2203.8141775,81.9093116667,207.4318575,6.42845833333,16619.24652,1036.07056667,9845.13344833,2.00086375,2825.8490175,1042.80399333,1467.71025
141,2012-10-01,2147.6968275,79.7954266667,233.434685,5.88091833333,16592.2429175,1074.53604167,9810.14093667,2.21132777778,2890.871945,1042.26232917,1470.24941667
142,2012-11-01,2107.6200625,75.4926533333,257.8661575,4.8693775,16489.8375975,1072.38974833,9719.048835,2.083388,2917.84887167,1042.45882667,1475.30241667
143,2012-12-01,2066.9522825,73.0121066667,285.978208333,4.39437583333,16519.5513892,1086.70253333,9746.31287,1.89398909091,2954.46137167,1031.61070833,1479.8225
144,2013-01-01,1979.54995667,68.5975791667,317.8104,4.00173916667,16673.092885,1068.505035,9960.23827417,1.73615666667,2964.80268417,1025.54758417,1492.66191667
